collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357595,-122.094132,33.21,551.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357595,-122.094132,33.21,552.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357596,-122.094132,33.21,553.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357598,-122.094132,33.2,554.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357599,-122.094132,33.2,555.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.423576,-122.094132,33.2,556.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357602,-122.094132,33.19,557.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357602,-122.094132,33.19,558.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357603,-122.094132,33.19,559.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357604,-122.094132,33.19,560.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357606,-122.094132,33.18,561.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357607,-122.094132,33.18,562.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357607,-122.0941319,33.18,563.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357608,-122.0941319,33.17,564.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357609,-122.0941319,33.17,565.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357608,-122.0941319,33.17,566.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357607,-122.0941319,33.16,567.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357607,-122.0941319,33.16,568.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357608,-122.0941319,33.16,569.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.4235761,-122.0941319,33.16,570.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357612,-122.0941319,33.16,571.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357612,-122.0941319,33.16,572.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357612,-122.0941318,33.16,573.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357612,-122.0941318,33.16,574.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357612,-122.0941318,33.16,575.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357611,-122.0941318,33.16,576.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357608,-122.0941318,33.16,577.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357605,-122.0941318,33.17,578.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357603,-122.0941318,33.17,579.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357602,-122.0941319,33.18,580.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357602,-122.0941319,33.18,581.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357602,-122.0941319,33.18,582.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357603,-122.0941319,33.19,583.44,1.1,0,0,12.7
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,37.42357604,-122.0941319,33.19,584.44,1.1,0,0,12.7
