,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,5,GPS_L1,1273529863366284025,-2051190.708,-26292604.465,-2180892.295,319.15,-268.677,3153.187,-3793.292,-0.001,22829002.063,3.598,0.0,7.133,5.249,22825196.389,G5,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
1,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,19,GPS_L1,1273529863361216666,16554465.766,-16294663.609,12561617.134,1579.647,-480.976,-2644.413,-47595.817,0.001,24348158.073,4.197,0.0,8.846,11.359,24300542.050999995,G19,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
2,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,25,GPS_L1,1273529863371894752,-14638552.152,-5476114.983,21268622.446,80.818,-2751.029,-619.484,1223.37,0.0,21146948.424,5.696,0.0,4.591,3.221,21148163.982,G25,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
3,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,29,GPS_L1,1273529863365044365,-23256536.487,1703829.733,12691906.638,1387.722,-840.202,2644.179,-31297.786,-0.003,23200642.781,4.197,0.0,7.28,5.758,23169331.957,G29,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
4,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,2,GPS_L1,1273529863371937314,-4653611.114,-17863167.496,19757766.507,2167.429,968.633,1427.69,-136679.946,-0.0,21134188.658,1.199,0.0,3.904,2.679,20997502.129,G2,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
5,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,6,GPS_L1,1273529863367225901,7116577.446,-13007983.224,22087733.617,2400.05,1414.983,64.58,-81412.159,-0.002,22546634.741,2.398,0.0,5.745,4.383,22465212.453999996,G6,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
6,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,12,GPS_L1,1273529863375438440,-10757929.19,-16221721.06,17908737.651,317.934,-2293.122,-1846.132,35344.332,-0.002,20084577.488,1.499,0.0,3.766,2.523,20119915.531000003,G12,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
7,2020-05-14-US-MTV-1,Pixel4,1273529863442,1,24,GPS_L1,1273529863364303247,-21694320.354,-15014033.47,-4655097.987,644.834,-23.01,-3024.515,-3908.974,0.001,23422824.368,4.797,0.0,7.745,5.803,23418901.846,G24,1273529864442,-2696514.8424751395,-4292525.614294215,3857857.8152627638,2268.976892918633
0,2020-05-14-US-MTV-1,Pixel4,1273529864442,1,5,GPS_L1,1273529864366285809,-2050871.56,-26292872.952,-2177739.078,319.144,-268.297,3153.234,-3793.292,-0.001,22828467.233,3.598,0.0,7.132,5.248,22824661.561,G5,1273529865442,-2696525.8280633315,-4292509.21350892,3857868.4132043635,2278.559039015406
1,2020-05-14-US-MTV-1,Pixel4,1273529864442,1,19,GPS_L1,1273529864361214791,16556045.239,-16295144.567,12558972.59,1579.306,-480.941,-2644.685,-47595.816,0.001,24348720.184,8.094,0.0,8.847,11.364,24301104.157,G19,1273529865442,-2696525.8280633315,-4292509.21350892,3857868.4132043635,2278.559039015406
